sensor_type,date,recorded
ms_p2:sensormultilevel::luminositysensor:, 2/13/2016 11:44:58 AM,9
ms_p2:sensormultilevel::luminositysensor:, 2/13/2016 11:48:59 AM,5
ms_p2:sensormultilevel::luminositysensor:, 2/13/2016 11:52:58 AM,0
ms_p2:sensormultilevel::luminositysensor:, 2/13/2016 12:04:58 PM,1
ms_p2:sensormultilevel::luminositysensor:, 2/13/2016 12:36:59 PM,5
ms_p2:sensormultilevel::luminositysensor:, 2/13/2016 12:48:59 PM,1
ms_p2:sensormultilevel::luminositysensor:, 2/13/2016 12:56:59 PM,0
ms_p2:sensormultilevel::luminositysensor:, 2/13/2016 1:56:58 PM,1
ms_p2:sensormultilevel::luminositysensor:, 2/13/2016 2:00:58 PM,0
ms_p2:sensormultilevel::luminositysensor:, 2/13/2016 3:12:59 PM,2
ms_p2:sensormultilevel::luminositysensor:, 2/13/2016 3:28:58 PM,0
ms_p2:sensormultilevel::luminositysensor:, 2/14/2016 10:25:01 AM,3
ms_p2:sensormultilevel::luminositysensor:, 2/14/2016 10:29:05 AM,7
ms_p2:sensormultilevel::luminositysensor:, 2/14/2016 10:33:04 AM,3
ms_p2:sensormultilevel::luminositysensor:, 2/14/2016 10:41:01 AM,8
ms_p2:sensormultilevel::luminositysensor:, 2/14/2016 10:45:01 AM,1
ms_p2:sensormultilevel::luminositysensor:, 2/14/2016 10:49:00 AM,0
ms_p2:sensormultilevel::luminositysensor:, 2/14/2016 10:53:00 AM,3
ms_p2:sensormultilevel::luminositysensor:, 2/14/2016 11:01:05 AM,6
ms_p2:sensormultilevel::luminositysensor:, 2/14/2016 11:05:03 AM,2
ms_p2:sensormultilevel::luminositysensor:, 2/14/2016 11:13:00 AM,7
ms_p2:sensormultilevel::luminositysensor:, 2/14/2016 11:17:00 AM,0
ms_p2:sensormultilevel::luminositysensor:, 2/15/2016 11:09:07 AM,3
ms_p2:sensormultilevel::luminositysensor:, 2/15/2016 11:13:07 AM,0
ms_p2:sensormultilevel::luminositysensor:, 2/15/2016 11:21:07 AM,1
ms_p2:sensormultilevel::luminositysensor:, 2/15/2016 11:25:07 AM,9
ms_p2:sensormultilevel::luminositysensor:, 2/15/2016 11:29:07 AM,3
ms_p2:sensormultilevel::luminositysensor:, 2/15/2016 11:33:07 AM,6
ms_p2:sensormultilevel::luminositysensor:, 2/15/2016 11:37:07 AM,5
ms_p2:sensormultilevel::luminositysensor:, 2/15/2016 11:45:07 AM,6
ms_p2:sensormultilevel::luminositysensor:, 2/15/2016 11:49:09 AM,2
